,Date,Country,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths
118,2023-01-09T16:13:58.875Z,Montenegro,0,285031,0,2791
119,2023-01-09T16:13:58.875Z,Morocco,45,1271868,0,16295
120,2023-01-09T16:13:58.875Z,Mozambique,0,230970,0,2230
121,2023-01-09T16:13:58.875Z,Myanmar,4,633713,0,19490
122,2023-01-09T16:13:58.875Z,Namibia,0,170295,0,4082
123,2023-01-09T16:13:58.875Z,Nauru,0,4621,0,1
124,2023-01-09T16:13:58.875Z,Nepal,3,1001020,1,12020
125,2023-01-09T16:13:58.875Z,Netherlands,0,8574498,0,22990
126,2023-01-09T16:13:58.875Z,New Zealand,14,2124582,0,2332
127,2023-01-09T16:13:58.875Z,Nicaragua,0,15466,0,245
128,2023-01-09T16:13:58.875Z,Niger,0,9473,0,315
129,2023-01-09T16:13:58.875Z,Nigeria,13,266463,0,3155
130,2023-01-09T16:13:58.875Z,Norway,65,1476206,0,4859
131,2023-01-09T16:13:58.875Z,Oman,0,399154,0,4628
132,2023-01-09T16:13:58.875Z,Pakistan,0,1575910,0,30638
133,2023-01-09T16:13:58.875Z,Palau,0,5976,0,9
134,2023-01-09T16:13:58.875Z,Palestinian Territory,0,703228,0,5708
135,2023-01-09T16:13:58.875Z,Panama,0,1025844,0,8575
136,2023-01-09T16:13:58.875Z,Papua New Guinea,0,46663,0,669
137,2023-01-09T16:13:58.875Z,Paraguay,0,798231,0,19716
138,2023-01-09T16:13:58.875Z,Peru,0,4466331,0,218356
139,2023-01-09T16:13:58.875Z,Philippines,643,4067170,10,65464
140,2023-01-09T16:13:58.875Z,Poland,120,6371116,0,118586
141,2023-01-09T16:13:58.875Z,Portugal,0,5557941,0,25805
142,2023-01-09T16:13:58.875Z,Qatar,57,490493,0,685
143,2023-01-09T16:13:58.875Z,Republic of Kosovo,12,272335,0,3202
144,2023-01-09T16:13:58.875Z,Romania,0,3312085,0,67408
145,2023-01-09T16:13:58.875Z,Russian Federation,3284,21515655,48,386105
146,2023-01-09T16:13:58.875Z,Rwanda,0,133033,0,1468
147,2023-01-09T16:13:58.875Z,Saint Kitts and Nevis,0,6571,0,46
148,2023-01-09T16:13:58.875Z,Saint Lucia,0,29759,0,409
149,2023-01-09T16:13:58.875Z,Saint Vincent and Grenadines,0,9552,0,120
150,2023-01-09T16:13:58.875Z,Samoa,0,15991,0,29
151,2023-01-09T16:13:58.875Z,San Marino,0,23176,0,121
152,2023-01-09T16:13:58.875Z,Sao Tome and Principe,0,6279,0,77
153,2023-01-09T16:13:58.875Z,Saudi Arabia,18,827190,1,9529
154,2023-01-09T16:13:58.875Z,Senegal,0,88900,0,1968
155,2023-01-09T16:13:58.875Z,Serbia,682,2452493,4,17558
156,2023-01-09T16:13:58.875Z,Seychelles,0,50355,0,172
157,2023-01-09T16:13:58.875Z,Sierra Leone,0,7760,0,126
158,2023-01-09T16:13:58.875Z,Singapore,684,2207670,0,1712
159,2023-01-09T16:13:58.875Z,Slovakia,51,2658243,3,20841
160,2023-01-09T16:13:58.875Z,Slovenia,835,1313501,2,7025
161,2023-01-09T16:13:58.875Z,Solomon Islands,0,24575,0,153
162,2023-01-09T16:13:58.875Z,Somalia,0,27310,0,1361
163,2023-01-09T16:13:58.875Z,South Africa,0,4050050,0,102568
164,2023-01-09T16:13:58.875Z,South Sudan,0,18368,0,138
165,2023-01-09T16:13:58.875Z,Spain,0,13693478,0,117413
166,2023-01-09T16:13:58.875Z,Sri Lanka,4,671927,0,16818
167,2023-01-09T16:13:58.875Z,Sudan,0,63702,0,4995
168,2023-01-09T16:13:58.875Z,Suriname,0,82020,0,1398
169,2023-01-09T16:13:58.875Z,Swaziland,0,74034,0,1422
170,2023-01-09T16:13:58.875Z,Sweden,0,2683356,0,22142
171,2023-01-09T16:13:58.875Z,Switzerland,0,4403682,0,14190
172,2023-01-09T16:13:58.875Z,Syrian Arab Republic (Syria),0,57423,0,3163
173,2023-01-09T16:13:58.875Z,"Taiwan, Republic of China",24410,9031781,61,15506
174,2023-01-09T16:13:58.875Z,Tajikistan,0,17786,0,125
175,2023-01-09T16:13:58.875Z,"Tanzania, United Republic of",0,42351,0,845
176,2023-01-09T16:13:58.875Z,Thailand,0,4723618,0,33650
177,2023-01-09T16:13:58.875Z,Timor-Leste,0,23402,0,138
178,2023-01-09T16:13:58.875Z,Togo,0,39346,0,290
179,2023-01-09T16:13:58.875Z,Tonga,0,16487,0,12
180,2023-01-09T16:13:58.875Z,Trinidad and Tobago,0,186279,0,4289
181,2023-01-09T16:13:58.875Z,Tunisia,0,1147645,0,29285
182,2023-01-09T16:13:58.875Z,Turkey,0,17042722,0,101492
183,2023-01-09T16:13:58.875Z,Tuvalu,0,2805,0,0
184,2023-01-09T16:13:58.875Z,Uganda,0,169985,0,3630
185,2023-01-09T16:13:58.875Z,Ukraine,19,5669552,1,118789
186,2023-01-09T16:13:58.875Z,United Arab Emirates,0,1047371,0,2348
187,2023-01-09T16:13:58.875Z,United Kingdom,0,24442197,0,214723
188,2023-01-09T16:13:58.875Z,United States of America,4644,101239724,14,1096503
189,2023-01-09T16:13:58.875Z,Uruguay,0,1020161,0,7570
190,2023-01-09T16:13:58.875Z,Uzbekistan,0,249867,0,1637
191,2023-01-09T16:13:58.875Z,Vanuatu,0,12014,0,14
192,2023-01-09T16:13:58.875Z,Venezuela (Bolivarian Republic),0,550716,0,5832
193,2023-01-09T16:13:58.875Z,Viet Nam,65,11525711,0,43186
194,2023-01-09T16:13:58.875Z,Yemen,0,11945,0,2159
195,2023-01-09T16:13:58.875Z,Zambia,206,335545,3,4028
196,2023-01-09T16:13:58.875Z,Zimbabwe,0,259981,0,5637
